0,Ancestral Healing,Shaman,Spell,Common,0,0,0,images/reward/Ancestral_Healing.png
0,Backstab,Rogue,Spell,Common,0,0,0,images/reward/Backstab.png
0,Innervate,Druid,Spell,Common,0,0,0,images/reward/Innervate.png
0,Hunter's Mark,Hunter,Spell,Common,0,0,0,images/reward/Hunters_Mark.png
0,Moonfire,Druid,Spell,Common,0,0,0,images/reward/Moonfire.png
0,Sacrificial Pact,Warlock,Spell,Common,0,0,0,images/reward/Sacrificial_Pact.png
0,Totemic Might,Shaman,Spell,Common,0,0,0,images/reward/Totemic_Might.png
1,Arcane Missiles,Mage,Spell,Common,0,0,0,images/reward/Arcane_Missiles.png
1,Arcane Shot,Hunter,Spell,Common,0,0,0,images/reward/Arcane_Shot.png
1,Blessing of Might,Paladin,Spell,Common,0,0,0,images/reward/Blessing_of_Might.png
1,Claw,Druid,Spell,Common,0,0,0,images/reward/Claw.png
1,Deadly Poison,Rogue,Spell,Common,0,0,0,images/reward/Deadly_Poison.png
1,Execute,Warrior,Spell,Common,0,0,0,images/reward/Execute.png
1,Frost Shock,Shaman,Spell,Common,0,0,0,images/reward/Frost_Shock.png
1,Hand of Protection,Paladin,Spell,Common,0,0,0,images/reward/Hand_of_Protection.png
1,Holy Smite,Priest,Spell,Common,0,0,0,images/reward/Holy_Smite.png
1,Light's Justice,Paladin,Weapon,Common,0,1,4,images/reward/Lights_Justice.png
1,Murloc Raider,Neutral,Minion,Common,0,2,1,images/reward/Murloc_Raider.png
1,Northshire Cleric,Priest,Minion,Common,0,1,3,images/reward/Northshire_Cleric.png
1,Power Word:Shield,Priest,Spell,Common,0,0,0,images/reward/Power_Word_Shield.png
1,Rockbiter Weapon,Shaman,Spell,Common,0,0,0,images/reward/Rockbiter_Weapon.png
1,Sinister Strike,Rogue,Spell,Common,0,0,0,images/reward/Sinister_Strike.png
1,Stonetusk Boar,Neutral,Minion,Common,0,1,1,images/reward/Stonetusk_Boar.png
1,Timber Wolf,Hunter,Minion,Common,0,1,1,images/reward/Timberwolf.png
1,Tracking,Hunter,Spell,Common,0,0,0,images/reward/Tracking.png
1,Voidwalker,Warlock,Minion,Common,0,1,3,images/reward/Voidwalker.png
1,Voodoo Doctor,Neutral,Minion,Common,0,2,1,images/reward/Voodoo_Doctor.png
1,Corruption,Warlock,Spell,Common,0,0,0,images/reward/Corruption.png
1,Elven Archer,Neutral,Minion,Common,0,1,1,images/reward/Elven_Archer.png
1,Goldshire Footman,Neutral,Minion,Common,0,1,1,images/reward/Goldshire_Footman.png
1,Grimscale Oracle,Neutral,Minion,Common,0,1,1,images/reward/Grimscale_Oracle.png
1,Humility,Paladin,Spell,Common,0,0,0,images/reward/Humility.png
1,Mind Vision,Priest,Spell,Common,0,0,0,images/reward/Mind_Vision.png
1,Mirror Image,Mage,Spell,Common,0,0,0,images/reward/Mirror_Image.png
1,Mortal Coil,Warlock,Spell,Common,0,0,0,images/reward/Mortal_Coil.png
1,Soulfire,Warlock,Spell,Common,0,0,0,images/reward/Soulfire.png
1,Whirlwind,Warrior,Spell,Common,0,0,0,images/reward/Whirlwind.png
2,Arcane Explosion,Mage,Spell,Common,0,0,0,images/reward/Arcane_Explosion.png
2,Bloodfen Raptor,Neutral,Minion,Common,0,3,2,images/reward/Bloodfen_Raptor.png
2,Fiery War Axe,Warrior,Weapon,Common,0,3,2,images/reward/Fiery_War_Axe.png
2,Heroic Strike,Warrior,Spell,Common,0,0,0,images/reward/Heroic_Strike.png
2,Holy Light,Paladin,Spell,Common,0,0,0,images/reward/Holy_Light.png
2,Mark of the Wild,Druid,Spell,Common,0,0,0,images/reward/Mark_of_the_Wild.png
2,Mind Blast,Priest,Spell,Common,0,0,0,images/reward/Mind_Blast.png
2,Novice Engineer,Neutral,Minion,Common,0,1,1,images/reward/Novice_Engineer.png
2,River Crocalisk,Neutral,Minion,Common,0,2,3,images/reward/River_Crocolisk.png
